90S preribosome (GO:003068)	 cac3 cdc39
active transmembrane transporter activity (GO:002280)	 cac1 dhh1
ADP metabolic process (GO:004603)	 hpc2
allantoin catabolic process (GO:000025)	 vps15
allantoin metabolic process (GO:000025)	 vps15
alpha-amino acid metabolic process (GO:190160)	 rph1
amide biosynthetic process (GO:004360)	 cac1 cac2 cac3 cdc39
anatomical structure development (GO:004885)	 dhh1
anatomical structure formation involved in morphogenesis (GO:004864)	 dhh1
anatomical structure morphogenesis (GO:000965)	 dhh1
anion transmembrane transporter activity (GO:000850)	 chd1 nap1
anion transmembrane transport (GO:009865)	 chd1 set3
ascospore-type prospore (GO:004276)	 dhh1
ATP biosynthetic process (GO:000675)	 hpc2
ATP generation from ADP (GO:000675)	 hpc2
ATP metabolic process (GO:004603)	 hpc2
binding (GO:000548)	 cdc73 leo1 rsc30
biological_process (GO:000815)	 cac1 cac2 cac3 cdc39 cdc73 ctr9 dhh1 gcn5 ino80 paf1 vps34
biological regulation (GO:006500)	 cac1 chd1 ino80 leo1 leo1 rsc30
biosynthetic process (GO:000905)	 cac2 cac3 cdc39
branched-chain amino acid catabolic process (GO:000908)	 cac3
carbohydrate binding (GO:003024)	 gcn5
carbohydrate biosynthetic process (GO:001605)	 cbc1 dhh1 eaf1 hpc2
carbohydrate catabolic process (GO:001605)	 cac2 cbc1 dhh1 eaf1 gcn5
carbohydrate:cation symporter activity (GO:000540)	 dhh1
carbohydrate metabolic process (GO:000597)	 cac1 cac2 cbc1 dhh1 eaf1 hpc2 ino80 vps34
carbohydrate:proton symporter activity (GO:000535)	 dhh1
carbohydrate transmembrane transporter activity (GO:001514)	 dhh1
carboxylic acid transmembrane transporter activity (GO:004694)	 nap1
carboxylic acid transmembrane transport (GO:190503)	 nap1
carboxylic acid transport (GO:004694)	 nap1
catalytic complex (GO:190249)	 cac1 cac2 rsc30 set3
cation transmembrane transporter activity (GO:000832)	 ino80
cation transmembrane transport (GO:009865)	 ino80 set2
cation transport (GO:000681)	 ino80 set2
cell (GO:000562)	 cdc39 eaf1
cell part (GO:004446)	 cdc39 eaf1
cell periphery (GO:007194)	 cac1 dhh1 eaf1 gcn5 hda1 hpc2 ino80 paf1 set2 vps34
cellular amide catabolic process (GO:004360)	 vps15
cellular amide metabolic process (GO:004360)	 cac1 cac2 cac3 cdc39 set2
cellular aromatic compound metabolic process (GO:000672)	 cdc73 ctr9 ino80 paf1 rtf1
cellular biosynthetic process (GO:004424)	 cac2 cac3 cdc39 leo1 leo1
cellular carbohydrate biosynthetic process (GO:003463)	 dhh1
cellular carbohydrate metabolic process (GO:004426)	 cbc1 dhh1 eaf1 vps34
cellular component biogenesis (GO:004408)	 cac3 cdc39 hda1 htz1 ino80 rsc30 set2
cellular_component (GO:000557)	 cac1 cac2 cac3 cdc39 cdc73 ctr9 dhh1 gcn5 ino80 paf1 rsc30 vps34
cellular component organization (GO:001604)	 chd1 set2
cellular component organization or biogenesis (GO:007184)	 cbc1 cdc73 chd1 gcn5 htz1 leo1 leo1 rsc30 set2 set3
cellular glucan metabolic process (GO:000607)	 dhh1 vps34
cellular localization (GO:005164)	 rtt103
cellular macromolecule biosynthetic process (GO:003464)	 cac2 cac3 cdc39 cdc73 gcn5 htz1 ino80 leo1 leo1 rsc30 rtf1 vps34
cellular macromolecule metabolic process (GO:004426)	 cac3 cbc1 cdc73 eaf1 gcn5 hda1 ino80 isw2 leo1 leo1 rsc30
cellular metabolic process (GO:004423)	 cac3 cdc39
cellular nitrogen compound biosynthetic process (GO:004427)	 cac1 cac2 cac3 cdc39 cdc73 paf1
cellular nitrogen compound metabolic process (GO:003464)	 cac3 cdc39 cdc73 ctr9 ino80 paf1 rtf1 vps34
cellular polysaccharide metabolic process (GO:004426)	 dhh1 vps34
cellular process (GO:000998)	 eaf1 leo1 leo1 rtt103
cellular protein-containing complex assembly (GO:003462)	 cbc1 ino80 set2
